"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval"
"ELL2","royalblue",-0.142041657287912,0.695477306856146,0.904804506441282,0.000319851375383996,60.3163790628253,13.1546669735339,NA,NA
"CCDC40","blue",-0.142020709589603,0.695520412364401,0.89272406282673,0.000508106335276761,431.920427320702,251.032588738102,NA,NA
"NCEH1","darkturquoise",0.142013354938688,0.695535546717721,0.920750972588909,0.000156690423254279,177.525124801408,8.93928970611453,NA,NA
"CTIF","turquoise",0.141935620584816,0.695695513888117,-0.939123629257283,5.58069592778395e-05,422.707071480485,179.17398633174,NA,NA
"UBE4B","orange",-0.141916991872832,0.69573385095538,0.876859955879096,0.000864793179969122,31.8278928642684,4.22422625418874,NA,NA
"MAPKAPK2","black",-0.1419062555315,0.695755946154014,0.839448031207576,0.0023835136233623,180.009253983677,30.5565703402776,NA,NA
"SERAC1","turquoise",0.141894634176631,0.695779862927016,-0.797865544994153,0.00567695916560293,158.085828061632,66.1936930679568,NA,NA
"LTBP4","blue",-0.141842238986033,0.69588769533911,0.626980175471104,0.0523676779896825,123.287388716294,49.428882194385,NA,NA
"OAS2","blue",-0.141839525141759,0.695893280725385,0.824259731465387,0.00335590048178612,236.641959823853,149.431754188724,NA,NA
"RALGPS2","turquoise",0.141833601505575,0.695905472257765,0.915831781055791,0.000198160325081144,700.980025227904,484.208456579573,NA,NA
"BRCA1","turquoise",0.141810664917631,0.695952679015607,0.96643454035495,5.33270145933725e-06,856.284155801857,662.111499620999,NA,NA
"NHERF2","turquoise",0.141806788650025,0.69596065701813,0.85510339132152,0.00161297335192248,333.558323748528,262.902828662872,NA,NA
"DHTKD1","turquoise",-0.141673134764968,0.69623575533172,0.915556562490556,0.00020069649371136,496.145900425962,405.466625986675,NA,NA
"ENSG00000248605","turquoise",0.141641404098166,0.696301070898446,-0.795385296727573,0.00594163647440246,332.266706283754,82.5467899917173,NA,NA
"KRBA2","turquoise",0.141631282042408,0.696321906886906,-0.930968456462927,9.13545539122647e-05,518.230490212125,174.153030551673,NA,NA
"SUPV3L1","green",0.141617406613729,0.696350469393076,-0.831569865590169,0.00285803258126283,485.094065194392,21.3933855762701,NA,NA
"ENSG00000284747","turquoise",-0.141521878646252,0.696547122600653,-0.920377271551881,0.000159593182436825,520.272821792816,192.570856282401,NA,NA
"UBE2I","turquoise",-0.141456667344476,0.696681375481267,0.862614437400086,0.00131608902265861,360.669400808135,283.904465358513,NA,NA
